NFLX US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31,1992-12-31,1993-12-31,1994-12-30,1995-12-29,1996-12-31,1997-12-31,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,1.061,20.52,14.895,16.131,103.61,135.191,174.461,212.256,400.43,385.142,297.271,320.242,350.387,797.811,748.078,1200.405,1608.496,2310.715,1733.782,2822.795,3794.483,5018.437,8205.55,6027.804,6058.452,7137.886
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,1.061,14.198,14.895,16.131,59.814,89.894,174.461,212.256,400.43,177.439,139.881,134.224,194.499,508.053,290.291,604.965,1113.608,1809.33,1467.576,2822.795,3794.483,5018.437,8205.55,6027.804,5147.176,7116.913
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,0,6.322,0,0,43.796,45.297,,,0,207.703,157.39,186.018,155.888,289.758,457.787,595.44,494.888,501.385,266.206,0,0,0,0,0,911.276,20.973
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,0,0,0,0,9.972,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,0.635,0.72,3.406,3.421,3.465,3.755,12.885,31.435,27.988,47.281,61.654,90.771,286.844,1033.046,1492.713,1858.358,2318.557,3121.125,3986.509,4847.179,5899.652,1160.067,1556.03,2042.021,3208.021,2780.247
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,26.539,26.741,62.217,56.007,,,,,,,178.833,0,0,323.818,392.735,408.936
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,35.115,50.83,203.927,948.939,1481.713,1836.858,2305.157,3104.025,3966.809,4847.179,5720.819,1160.067,1556.03,1718.203,2815.286,2371.311
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,1.696,21.24,18.301,19.552,117.047,138.946,187.346,243.691,428.418,432.423,358.925,411.013,637.231,1830.857,2240.791,3058.763,3927.053,5431.84,5720.291,7669.974,9694.135,6178.504,9761.58,8069.825,9266.473,9918.133
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,1.062,4.499,9.959,8.205,5.62,9.772,18.728,40.213,55.503,113.175,124.948,131.653,128.57,136.353,131.681,133.605,149.875,173.412,250.395,319.404,418.281,2097.506,2997.909,3770.026,3625.379,3568.343
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,1.317,5.638,14.62,18.19,21.524,29.325,42.205,72.623,100.846,180.75,223.786,265.947,265.149,306.038,336.037,357.196,414.691,470.758,544.604,641.218,786.8,2513.511,3492.699,4386.332,4379.12,4423.386
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,0.255,1.139,4.661,9.985,15.904,19.553,23.477,32.41,45.343,67.575,98.838,134.294,136.579,169.685,204.356,223.591,264.816,297.346,294.209,321.814,368.519,416.005,494.79,616.306,753.741,855.043
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,2.091,9.034,24.228,13.873,7.863,27.294,45.719,80.777,124.858,133.4,131.551,137.068,216.266,1101.986,1595.418,2220.195,2965.572,4597.619,7615.924,11023.364,15861.984,25699.702,26520.87,32744.812,35702.916,35245.516
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,0,0,0,7.917,6.094,2.948,0.961,0.457,0.969,2.732,100.391,108.81,180.973,1046.934,1506.008,0,0,0,0,1469.654,3616.968,5418.53,5826.662,10242.575,10893.646,9092.205
    + Goodwill,BS_GOODWILL,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,0,,,,,,0.969,2.732,100.391,108.81,180.973,1046.934,1506.008,0,0,0,0,1469.654,3616.968,5418.53,5826.662,10242.575,10893.646,9092.205
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,22.409,15.958,19.69,38.328,56.9,69.1,120.34,180.573,227.248,478.266,564.425,658.206,589.091,148.095,261.541,874.55
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,2.091,9.034,24.228,5.956,1.769,24.346,44.758,80.32,123.889,130.668,8.751,12.3,15.603,16.724,32.51,2151.095,2845.232,4417.046,7388.676,9075.444,11680.591,19622.966,20105.117,22354.142,24547.729,25278.761
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,3.153,13.533,34.187,22.078,13.483,37.066,64.447,120.99,180.361,246.575,256.499,268.721,344.836,1238.339,1727.099,2353.8,3115.447,4771.031,7866.319,11342.768,16280.265,27797.208,29518.779,36514.838,39328.295,38813.859
Total Assets,BS_TOT_ASSET,,,,,,,,,4.849,34.773,52.488,41.63,130.53,176.012,251.793,364.681,608.779,678.998,615.424,679.734,982.067,3069.196,3967.89,5412.563,7042.5,10202.871,13586.61,19012.742,25974.4,33975.712,39280.359,44584.663,48594.768,48731.992
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,-11.081,-29.845,-57.363,-38.618,-20.948,6.512,,42.027,49.082,66.608,83.026,115.86,160.853,226.126,17.152,112.403,266.799,122.641,186.678,558.929,1211.242,1866.916,2761.395,5116.228,4491.924,5407.99
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,-5.408,-16.529,-22.706,4.847,40.114,89.792,102.867,157.507,247.862,277.424,284.037,325.063,276.401,317.712,21.586,97.831,16.483,-749.439,-1473.984,-1785.948,-2680.479,-2887.322,2427.077,392.61,2026.257,7274.301
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,-0.103,-3.295,-6.21,-3.233,-2.751,-8.872,,-27.653,-27.31,-44.256,-44.852,-238.976,-157.738,-134.836,-88.553,-120.07,-144.516,-169.206,-184.83,-173.302,-173.946,-253.035,-497.923,-524.585,-407.729,-348.552
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,0,0,0,0,,0,,0,0.023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,-0.103,-3.295,-6.21,-3.233,-2.751,-8.872,,-27.653,-27.333,-44.256,-44.852,-238.976,-157.738,-134.836,-88.553,-120.07,-144.516,-169.206,-184.83,-173.302,-173.946,-253.035,-497.923,-524.585,-407.729,-348.552
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-788.349,-757.387,0
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-788.349,-757.387,0
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,-2.26,-16.447,-18.762,-9.437,-64.55,-55.805,,-105.595,-158.559,-391.768,-100.108,-7.103,41.657,-130.978,-156.187,-135.898,101.65,-9.986,234.595,207.631,-165.174,-134.029,-7.431,-26.919,-911.276,890.303
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,-2.363,-19.742,-24.972,-12.67,-67.301,-64.677,,-133.248,-185.869,-436.024,-144.96,-246.079,-116.081,-265.814,-244.74,-255.968,-42.866,-179.192,49.765,34.329,-339.12,-387.064,-505.354,-1339.853,-2076.392,541.751
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,1,3.553,-1.917,12.831,-17.144,-1.334,,-0.079,0,-0.39,-0.823,191.737,-1.776,195.977,-2.319,279.458,398.907,1500,1000,3020.51,3961.852,4469.306,1009.464,-500,-700,0
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,6.25,45.855,50.292,-3.772,88.014,6.299,,13.393,126.181,-64.001,-175.812,-276.378,-98.269,-134.268,8.667,206.22,149.885,158.451,102.1,88.378,124.502,72.49,235.406,-649.776,35.746,-5875.357
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,6.25,45.855,50.433,0.125,88.02,6.299,,13.393,126.181,35.857,24.092,47.957,111.99,65.398,8.667,206.22,149.885,158.451,102.1,88.378,124.502,72.49,235.406,174.414,35.746,169.99
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,0,0,-0.141,-3.897,-0.006,0,,0,0,-99.858,-199.904,-324.335,-210.259,-199.666,0,0,0,0,0,0,0,0,0,-824.19,0,-6045.347
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,0,0,0,0,0,0,,0.222,0,0,0,0,0,199.947,-0.759,-9.414,-7.08,-18.174,-10.47,-31.898,-37.827,-36.134,-7.559,0,0,-75.446
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,7.25,49.408,48.375,9.059,70.87,4.965,,13.536,126.181,-64.391,-176.635,-84.641,-100.045,261.656,5.589,476.264,541.712,1640.277,1091.63,3076.99,4048.527,4505.662,1237.311,-1149.776,-664.254,-5950.803
,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,0,0,0,0,-0.197,-3.453,-6.686,-15.924,-9.165,29.848,-39.682,0.469,36.05,-86.74,-170.14,82.684
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,-0.521,13.137,0.697,1.236,43.683,30.08,84.567,37.795,188.174,-222.991,-37.558,-5.657,60.275,313.554,-217.762,314.674,508.643,695.722,-341.754,1355.219,989.246,1231.745,3195.084,-2183.759,-884.529,1947.933
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,0,0,0,0,0,0,,-0.977,-2.324,15.775,40.494,58.77,56.218,79.069,28.853,7.465,50.573,27.658,26.806,113.591,131.069,599.132,291.582,509.265,811.72,1154.973
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,0,169.528,,,,0,0,0,0,0,0,0,0,0,,0,788.349,757.387,0
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,-5.511,-19.824,-28.916,1.614,37.363,80.92,,129.854,220.529,233.168,240.247,86.087,118.663,182.876,-66.967,-22.239,-128.033,-918.645,-1581.637,-1959.25,-2854.425,-3140.357,1929.154,-131.975,1618.528,6925.749
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,81.337,,,221.2684,233.8814,241.7989,89.9904,130.4577,195.471,-55.7203,-3.0914,-89.6828,-803.9294,-1474.0661,,-2439.1488,-2573.625,2591.5912,538.7472,2221.1673,7535.6451
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,29.227,19.178,14.447,,,,,,232.778,239.424,277.824,116.887,378.853,-69.286,257.219,270.874,581.355,-581.637,1061.26,1107.427,1328.949,2938.618,-631.975,918.528,6925.749
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,0.0946,0.2419,,0.3466,0.5034,0.4966,0.563,0.2174,0.3227,0.4944,-0.1723,-0.0546,-0.0435,-2.157,-3.6883,-4.5365,-6.5563,-7.1731,4.3753,-0.2978,3.6396,15.6843
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,8.3111,16.1481,7.488,11.1546,7.338,7.6578,7.5844,36.1947,77.7778,20.0232,25.8143,,,,,,,,123.5877,139.8976,81.0196,31.0424
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,13.7887,4.7635,3.7478,5.05,4.165,3.4211,2.8057,1.7183,1.405,1.2585,0.8704,0.0618,-6.1108,-7.8959,-3.1953,-2.213,-1.5466,0.8789,0.0767,0.4511,1.3451
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,1.339,5.006,35.894,75.912,152.806,272.243,500.611,682.213,996.66,1205.34,1364.661,1670.269,2162.625,3204.577,3609.282,4374.562,5504.656,6779.511,8830.669,11692.713,15794.341,20156.447,24996.056,29697.844,31615.55,33723.297
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,1364.661,1670.269,2162.625,3204.577,3609.282,4374.562,5504.656,6779.511,8830.669,11692.713,15794.341,20156.447,24996.056,29697.844,31615.55,33723.297
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,1.311,4.373,24.861,49.907,78.136,148.36,330.01,464.55,626.985,786.168,910.234,1079.271,1357.355,2039.901,2652.058,3117.203,3752.76,4591.476,6257.462,8033,9967.538,12440.213,15276.319,17332.683,19168.285,19715.368
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,910.234,1079.271,1357.355,2039.901,2652.058,3117.203,3752.76,4591.476,6257.462,8033,9967.538,12440.213,15276.319,17332.683,19168.285,19715.368
Gross Profit,GROSS_PROFIT,,,,,,,,,0.028,0.633,11.033,26.005,74.67,123.883,170.601,217.663,369.675,419.172,454.427,590.998,805.27,1164.676,957.224,1257.359,1751.896,2188.035,2573.207,3659.713,5826.803,7716.234,9719.737,12365.161,12447.265,14007.929
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,11.181,30.664,68.59,57.546,85.343,119.411,153.807,216.661,310.058,341.595,332.921,399.059,521.629,788.608,907.232,1029.012,1349.248,1882.209,2193.414,2821.034,4221.577,5111.98,5134.448,6170.652,6814.434,7053.926
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,171.392,,270.616,249.375,284.517,358.3,529.575,578.224,650.243,876.927,1231.421,1413.182,1867.324,2999.763,3566.831,3304.848,3896.767,4103.393,4378.168
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,141.997,,218.212,199.713,237.744,293.839,402.638,439.208,469.942,607.186,824.092,1097.519,1436.281,2369.469,2652.462,2228.362,2545.146,2530.502,2657.883
