GE US Equity,"=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"=BDH($A$1, $B8, ""19900101"","""",""sort=a"",""dates=h"",""dir=h"",""per=cy"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-12-31 00:00:00,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,44725,47194,65327,29867,33556,43890,64080,76482,83034,90312,99534,109450,125772,133388,69075,50973,61905,61007,89633,121831,122881,131875,125778,132536,105530,102456,92442,82663,64632,45699,43849,28067,24871,22673
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,1975,1971,3129,3056,2591,2823,4191,5861,4317,8554,8195,8433,8910,12664,12152,8825,14099,15731,48187,70488,78943,84501,77268,88555,70025,70483,48129,43967,31124,35811,36530,15770,17262,16967
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,42750,45223,62198,26811,30965,41067,59889,70621,78717,81758,91339,101017,116862,120724,56923,42148,47806,45276,41446,51343,43938,47374,48510,43981,35505,31973,44313,38696,33508,9888,7319,12297,7609,5706
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,7806,8231,7150,8195,7527,8735,8704,8924,8224,8531,9502,9590,10681,10732,14233,14851,19617,22259,21411,16458,18621,20478,19902,21388,23237,39074,36318,34545,22344,17645,16691,15620,17976,15466
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,8531,9502,9590,10681,10732,14233,14851,19617,22259,21411,16458,18621,20478,19902,21388,23237,27022,24076,24209,14645,16568,16691,15620,17976,15466
